# sigma8,om0,ode0
8.100032394772933575e-01,3.316652180113475734e-01,7.134108519138074866e-01
8.101209047128214991e-01,3.311231810816600007e-01,7.125308737458015962e-01
8.100452449128260346e-01,3.321306803430942312e-01,7.126700317270556750e-01
8.102753005549386822e-01,3.320535031961159289e-01,7.125509519109294310e-01
8.102589828637964953e-01,3.319600499258235082e-01,7.125754978255361971e-01
8.099852124213385851e-01,3.315917894656520426e-01,7.124660164021249242e-01
8.100009428765070352e-01,3.319824663838943923e-01,7.124578488880070060e-01
8.098133219702118302e-01,3.320828200695716270e-01,7.125340022689345965e-01
8.100420188590067294e-01,3.322662116687328804e-01,7.123882957223270918e-01
8.099700258365485350e-01,3.323612500745380949e-01,7.125274722081101908e-01
8.100094152371899447e-01,3.319040885721982748e-01,7.125558305415111704e-01
8.098955695614431516e-01,3.322934094352312240e-01,7.124455696597223886e-01
8.097467568029124152e-01,3.319657435992450778e-01,7.124839276842741542e-01
8.107435212966522808e-01,3.323019222605737011e-01,7.125724092519871711e-01
8.104776726369276041e-01,3.313658606444805366e-01,7.124075688218669544e-01
8.100296707241887439e-01,3.315802017203478003e-01,7.123520209581041263e-01
8.098916162189631063e-01,3.317660292256323085e-01,7.113173187472207060e-01
8.099510166008496714e-01,3.319955159073516571e-01,7.125781726532784965e-01
8.097415551276386791e-01,3.326302738003280024e-01,7.123442163338619126e-01
8.105753727634895656e-01,3.324024554966520384e-01,7.127843664966134751e-01
8.100152970795855278e-01,3.318092470609552702e-01,7.131331594966678900e-01
8.101209047128214991e-01,3.311231810816600007e-01,7.125308737458015962e-01
8.100437316037977231e-01,3.320849420274606389e-01,7.128775677573312430e-01
8.102824699476959269e-01,3.320818108730149709e-01,7.125603776819721125e-01
8.103284013817884102e-01,3.320059002688189320e-01,7.125978595137142380e-01
8.099729229009916542e-01,3.315417312859560983e-01,7.118218970698011461e-01
8.100202963661167210e-01,3.317453548676868591e-01,7.124142659899022068e-01
8.097858936824682274e-01,3.321275410246456450e-01,7.125498697442340656e-01
8.100472305862791433e-01,3.321906954209429830e-01,7.123977153804463835e-01
