# sigma8,om0
8.095811581044825012e-01,3.284844287948667785e-01
8.122922627859190392e-01,3.247315496144663194e-01
8.116065491096902118e-01,3.272532078524649779e-01
8.139313924978572867e-01,3.255959021494335137e-01
8.152385318499252298e-01,3.241243804263326811e-01
8.099668166989423268e-01,3.282723829947336580e-01
8.130324985480648081e-01,3.257486350293286592e-01
8.140004980643709143e-01,3.247113257670440345e-01
8.156560134861019495e-01,3.241644447947281127e-01
8.111287029468449150e-01,3.265791278412796261e-01
8.160606919668864645e-01,3.238327481412068831e-01
8.112892438301561038e-01,3.272231472710055988e-01
8.170123223979786076e-01,3.233401605233746090e-01
8.138994935136433240e-01,3.256285536969734662e-01
8.109570170732312011e-01,3.280589568109426590e-01
8.128674701395112168e-01,3.266499758016620514e-01
8.255710702898406694e-01,3.141924035632721046e-01
8.107852566420785667e-01,3.271610161950698203e-01
8.153683536308546920e-01,3.226911182216474772e-01
8.123984172900134970e-01,3.263393161490149574e-01
8.109173494924947212e-01,3.276007559558028470e-01
8.122922627859190392e-01,3.247315496144663194e-01
8.119867941887571883e-01,3.272062301404722318e-01
8.139313924978572867e-01,3.255959021494335137e-01
8.151995196140762179e-01,3.241579881172853561e-01
8.123904332594148459e-01,3.265757246465393893e-01
8.127394898220585695e-01,3.259808959317113120e-01
8.140004980643709143e-01,3.247113257670440345e-01
8.143393392733953018e-01,3.249744848800190655e-01
8.111287029468449150e-01,3.265791278412796261e-01
8.160875012373204340e-01,3.238188709949667010e-01
8.110002034187783204e-01,3.273281193629717922e-01
8.170123223979786076e-01,3.233401605233746090e-01
8.138994935136433240e-01,3.256285536969734662e-01
8.124407089786732650e-01,3.269027409836942066e-01
8.132871966125890806e-01,3.262671466831413292e-01
8.255710702898406694e-01,3.141924035632721046e-01
8.107852566420785667e-01,3.271610161950698203e-01
8.153683536308546920e-01,3.226911182216474772e-01
8.123984172900134970e-01,3.263393161490149574e-01
8.109368215837716720e-01,3.275066328861880316e-01
8.122922627859190392e-01,3.247315496144663194e-01
8.122607548446234560e-01,3.270331905526892013e-01
8.139313924978572867e-01,3.255959021494335137e-01
8.155733796288028303e-01,3.237584877796891858e-01
8.131554891197698698e-01,3.261616751345225995e-01
8.131539049125939833e-01,3.257396904773995350e-01
8.142248486469094715e-01,3.243799788392220940e-01
8.143393392733953018e-01,3.249744848800190655e-01
8.111287029468449150e-01,3.265791278412796261e-01
8.165295742891012232e-01,3.233985302797554029e-01
8.130004454961456961e-01,3.257668133984366610e-01
8.151203445264075809e-01,3.245951473097900553e-01
8.138994935136433240e-01,3.256285536969734662e-01
8.130259434474774727e-01,3.267299224283423675e-01
8.144459139407287385e-01,3.242761358618113654e-01
8.216218937085025820e-01,3.178952333661583252e-01
8.124802324021490607e-01,3.259565351900890473e-01
8.165025912465868618e-01,3.207421706120454630e-01
8.123984172900134970e-01,3.263393161490149574e-01
8.109368215837716720e-01,3.275066328861880316e-01
8.123062774320582990e-01,3.249438088986902340e-01
8.122607548446234560e-01,3.270331905526892013e-01
8.137154682746442491e-01,3.256355433734898219e-01
8.155733796288028303e-01,3.237584877796891858e-01
8.138973670482161360e-01,3.257119482356231610e-01
8.131539049125939833e-01,3.257396904773995350e-01
8.142248486469094715e-01,3.243799788392220940e-01
8.143393392733953018e-01,3.249744848800190655e-01
8.111287029468449150e-01,3.265791278412796261e-01
8.197862815125848135e-01,3.206256267827277129e-01
8.132816914379761286e-01,3.257151798520511732e-01
8.148613021677325596e-01,3.248144173314446714e-01
8.139435633501830303e-01,3.254594323761070274e-01
8.130259434474774727e-01,3.267299224283423675e-01
8.173796010083405061e-01,3.216091502642865474e-01
